249	7 (A M E O I N T)
Cyperus_impolitus_Pereira_Silva_358	0000001
Cyperus_rigens_Reid_8428	0000001
Cyperus_rigidifolius_Samain_2005_001	1010000
Cyperus_rotundus_Shaw_890	1111100
Cyperus_rupestris_Laegaard_15909	1010000
Cyperus_salzmannianus_Luceno_28	0000001
Cyperus_sanguinolentus_Kirika_and_Muindi_21	1011100
Cyperus_sellowianus_Morf_1_Pereira_Silva_261	0000011
Cyperus_sellowianus_Morf_2_Pereira_Silva_144	0000011
Cyperus_serotinus_Jung_1010170	0010100
Cyperus_sesquiflorus_Pereira_Silva_146	1111111
Cyperus_smithianus_Reekmans_7531	1100000
Cyperus_sphacelatus_Caddah_1069	1100001
Cyperus_squarrosus_Pereira_Silva_385	1111111
Cyperus_strigosus_Reid_and_Carter_8668	0000011
Cyperus_subparadoxus_Reid_1027	1100000
Cyperus_subsquarrosus_Reid_7577	1100011
Cyperus_tetragonus_Reid_and_Carter_7752	0000010
Cyperus_thyrsiflorus_Reid_and_Rosen_7511	0000011
Cyperus_tuckerianus_Pereira_Silva_119	0000001
Cyperus_unioloides_Pereira_Silva_359	1111111
Cyperus_waterloti_Larridon_2010_0010	0100000
Cyperus_xantholepis_Reekmans_9809	1000000
